FLDNAME,BIOMARKER,HM,HS,LM,LS,HV_CTV,REQUIRE_NORMALIZE
ST54CV,Left-rostralanteriorcingulate,FSL-rostralanteriorcingulate,FSL-Left-rostralanteriorcingulate,FSL-Cingulate,FSL-Left-Cingulate,Other,1
ST55CV,Left-rostralmiddlefrontal,FSL-rostralmiddlefrontal,FSL-Left-rostralmiddlefrontal,FSL-Frontal,FSL-Left-Frontal,Cortical,1
ST56CV,Left-superiorfrontal,FSL-superiorfrontal,FSL-Left-superiorfrontal,FSL-Frontal,FSL-Left-Frontal,Other,1
ST57CV,Left-superiorparietal,FSL-superiorparietal,FSL-Left-superiorparietal,FSL-Parietal,FSL-Left-Parietal,Cortical,1
ST58CV,Left-superiortemporal,FSL-superiortemporal,FSL-Left-superiortemporal,FSL-Temporal,FSL-Left-Temporal,Cortical,1
ST59CV,Left-supramarginal,FSL-supramarginal,FSL-Left-supramarginal,FSL-Parietal,FSL-Left-Parietal,Cortical,1
ST60CV,Left-temporalpole,FSL-temporalpole,FSL-Left-temporalpole,FSL-Temporal,FSL-Left-Temporal,Other,1
ST61SV,Left-Thalamus-Proper,FSL-Thalamus-Proper,FSL-Left-Thalamus-Proper,FSL-Thalamus,FSL-Left-Thalamus,Other,1
ST62CV,Left-transversetemporal,FSL-transversetemporal,FSL-Left-transversetemporal,FSL-Temporal,FSL-Left-Temporal,Other,1
ST70SV,Right-Accumbens-area,FSL-Accumbens-area,FSL-Right-Accumbens-area,FSL-Accumbens-area,FSL-Right-Accumbens-area,Other,1
ST71SV,Right-Amygdala,FSL-Amygdala,FSL-Right-Amygdala,FSL-Amygdala,FSL-Right-Amygdala,Other,1
ST72CV,Right-bankssts,FSL-bankssts,FSL-Right-bankssts,FSL-Temporal,FSL-Right-Temporal,Other,1
ST73CV,Right-caudalanteriorcingulate,FSL-caudalanteriorcingulate,FSL-Right-caudalanteriorcingulate,FSL-Cingulate,FSL-Right-Cingulate,Other,1
ST74CV,Right-caudalmiddlefrontal,FSL-caudalmiddlefrontal,FSL-Right-caudalmiddlefrontal,FSL-Frontal,FSL-Right-Frontal,Cortical,1
ST75SV,Right-Caudate,FSL-Caudate,FSL-Right-Caudate,FSL-Caudate,FSL-Right-Caudate,Other,1
ST82CV,Right-cuneus,FSL-cuneus,FSL-Right-cuneus,FSL-Occipital,FSL-Right-Occipital,Other,1
ST83CV,Right-entorhinal,FSL-entorhinal,FSL-Right-entorhinal,FSL-Temporal,FSL-Right-Temporal,Other,1
ST84CV,Right-frontalpole,FSL-frontalpole,FSL-Right-frontalpole,FSL-Frontal,FSL-Right-Frontal,Other,1
ST85CV,Right-fusiform,FSL-fusiform,FSL-Right-fusiform,FSL-Temporal,FSL-Right-Temporal,Other,1
ST88SV,Right-Hippocampus,FSL-Hippocampus,FSL-Right-Hippocampus,FSL-Hippocampus,FSL-Right-Hippocampus,Hippocampus,1
ST90CV,Right-inferiorparietal,FSL-inferiorparietal,FSL-Right-inferiorparietal,FSL-Parietal,FSL-Right-Parietal,Cortical,1
ST91CV,Right-inferiortemporal,FSL-inferiortemporal,FSL-Right-inferiortemporal,FSL-Temporal,FSL-Right-Temporal,Other,1
ST130CV,Right-insula,FSL-insula,FSL-Right-insula,FSL-Insula,FSL-Right-Insula,Other,1
ST93CV,Right-isthmuscingulate,FSL-isthmuscingulate,FSL-Right-isthmuscingulate,FSL-Cingulate,FSL-Right-Cingulate,Other,1
ST94CV,Right-lateraloccipital,FSL-lateraloccipital,FSL-Right-lateraloccipital,FSL-Occipital,FSL-Right-Occipital,Other,1
ST95CV,Right-lateralorbitofrontal,FSL-lateralorbitofrontal,FSL-Right-lateralorbitofrontal,FSL-Frontal,FSL-Right-Frontal,Other,1
ST97CV,Right-lingual,FSL-lingual,FSL-Right-lingual,FSL-Occipital,FSL-Right-Occipital,Other,1
ST98CV,Right-medialorbitofrontal,FSL-medialorbitofrontal,FSL-Right-medialorbitofrontal,FSL-Frontal,FSL-Right-Frontal,Other,1
ST99CV,Right-middletemporal,FSL-middletemporal,FSL-Right-middletemporal,FSL-Temporal,FSL-Right-Temporal,Other,1
ST101SV,Right-Pallidum,FSL-Pallidum,FSL-Right-Pallidum,FSL-Pallidum,FSL-Right-Pallidum,Other,1
ST102CV,Right-paracentral,FSL-paracentral,FSL-Right-paracentral,FSL-Frontal,FSL-Right-Frontal,Other,1
ST103CV,Right-parahippocampal,FSL-parahippocampal,FSL-Right-parahippocampal,FSL-Temporal,FSL-Right-Temporal,Other,1
ST104CV,Right-parsopercularis,FSL-parsopercularis,FSL-Right-parsopercularis,FSL-Frontal,FSL-Right-Frontal,Cortical,1
ST105CV,Right-parsorbitalis,FSL-parsorbitalis,FSL-Right-parsorbitalis,FSL-Frontal,FSL-Right-Frontal,Other,1
ST106CV,Right-parstriangularis,FSL-parstriangularis,FSL-Right-parstriangularis,FSL-Frontal,FSL-Right-Frontal,Cortical,1
ST107CV,Right-pericalcarine,FSL-pericalcarine,FSL-Right-pericalcarine,FSL-Occipital,FSL-Right-Occipital,Other,1
ST108CV,Right-postcentral,FSL-postcentral,FSL-Right-postcentral,FSL-Parietal,FSL-Right-Parietal,Other,1
ST109CV,Right-posteriorcingulate,FSL-posteriorcingulate,FSL-Right-posteriorcingulate,FSL-Cingulate,FSL-Right-Cingulate,Other,1
ST110CV,Right-precentral,FSL-precentral,FSL-Right-precentral,FSL-Frontal,FSL-Right-Frontal,Other,1
ST111CV,Right-precuneus,FSL-precuneus,FSL-Right-precuneus,FSL-Parietal,FSL-Right-Parietal,Other,1
ST112SV,Right-Putamen,FSL-Putamen,FSL-Right-Putamen,FSL-Putamen,FSL-Right-Putamen,Other,1
ST113CV,Right-rostralanteriorcingulate,FSL-rostralanteriorcingulate,FSL-Right-rostralanteriorcingulate,FSL-Cingulate,FSL-Right-Cingulate,Other,1
ST114CV,Right-rostralmiddlefrontal,FSL-rostralmiddlefrontal,FSL-Right-rostralmiddlefrontal,FSL-Frontal,FSL-Right-Frontal,Cortical,1
ST115CV,Right-superiorfrontal,FSL-superiorfrontal,FSL-Right-superiorfrontal,FSL-Frontal,FSL-Right-Frontal,Other,1
ST116CV,Right-superiorparietal,FSL-superiorparietal,FSL-Right-superiorparietal,FSL-Parietal,FSL-Right-Parietal,Cortical,1
ST117CV,Right-superiortemporal,FSL-superiortemporal,FSL-Right-superiortemporal,FSL-Temporal,FSL-Right-Temporal,Cortical,1
ST118CV,Right-supramarginal,FSL-supramarginal,FSL-Right-supramarginal,FSL-Parietal,FSL-Right-Parietal,Cortical,1
ST119CV,Right-temporalpole,FSL-temporalpole,FSL-Right-temporalpole,FSL-Temporal,FSL-Right-Temporal,Other,1
ST120SV,Right-Thalamus-Proper,FSL-Thalamus-Proper,FSL-Right-Thalamus-Proper,FSL-Thalamus,FSL-Right-Thalamus,Other,1
ST121CV,Right-transversetemporal,FSL-transversetemporal,FSL-Right-transversetemporal,FSL-Temporal,FSL-Right-Temporal,Other,1
