FLDNAME,BIOMARKER,HM,HS,LM,LS,HV_CTV,REQUIRE_NORMALIZE
lh-rostralmiddlefrontal-gvol,Left-rostralmiddlefrontal,FSX-rostralmiddlefrontal,FSX-Left-rostralmiddlefrontal,FSX-Frontal,FSX-Left-Frontal,Cortical,1
lh-superiorfrontal-gvol,Left-superiorfrontal,FSX-superiorfrontal,FSX-Left-superiorfrontal,FSX-Frontal,FSX-Left-Frontal,Other,1
lh-superiorparietal-gvol,Left-superiorparietal,FSX-superiorparietal,FSX-Left-superiorparietal,FSX-Parietal,FSX-Left-Parietal,Cortical,1
lh-superiortemporal-gvol,Left-superiortemporal,FSX-superiortemporal,FSX-Left-superiortemporal,FSX-Temporal,FSX-Left-Temporal,Cortical,1
lh-supramarginal-gvol,Left-supramarginal,FSX-supramarginal,FSX-Left-supramarginal,FSX-Parietal,FSX-Left-Parietal,Cortical,1
,Left-temporalpole,FSX-temporalpole,FSX-Left-temporalpole,FSX-Temporal,FSX-Left-Temporal,Other,1
,Left-Thalamus-Proper,FSX-Thalamus-Proper,FSX-Left-Thalamus-Proper,FSX-Thalamus,FSX-Left-Thalamus,Other,1
lh-transversetemporal-gvol,Left-transversetemporal,FSX-transversetemporal,FSX-Left-transversetemporal,FSX-Temporal,FSX-Left-Temporal,Other,1
,Right-Accumbens-area,FSX-Accumbens-area,FSX-Right-Accumbens-area,FSX-Accumbens-area,FSX-Right-Accumbens-area,Other,1
,Right-Amygdala,FSX-Amygdala,FSX-Right-Amygdala,FSX-Amygdala,FSX-Right-Amygdala,Other,1
,Right-bankssts,FSX-bankssts,FSX-Right-bankssts,FSX-Temporal,FSX-Right-Temporal,Other,1
rh-caudalanteriorcingulate-gvol,Right-caudalanteriorcingulate,FSX-caudalanteriorcingulate,FSX-Right-caudalanteriorcingulate,FSX-Cingulate,FSX-Right-Cingulate,Other,1
rh-caudalmiddlefrontal-gvol,Right-caudalmiddlefrontal,FSX-caudalmiddlefrontal,FSX-Right-caudalmiddlefrontal,FSX-Frontal,FSX-Right-Frontal,Cortical,1
,Right-Caudate,FSX-Caudate,FSX-Right-Caudate,FSX-Caudate,FSX-Right-Caudate,Other,1
rh-cuneus-gvol,Right-cuneus,FSX-cuneus,FSX-Right-cuneus,FSX-Occipital,FSX-Right-Occipital,Other,1
rh-entorhinal-gvol,Right-entorhinal,FSX-entorhinal,FSX-Right-entorhinal,FSX-Temporal,FSX-Right-Temporal,Other,1
,Right-frontalpole,FSX-frontalpole,FSX-Right-frontalpole,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-fusiform-gvol,Right-fusiform,FSX-fusiform,FSX-Right-fusiform,FSX-Temporal,FSX-Right-Temporal,Other,1
right_hippo,Right-Hippocampus,FSX-Hippocampus,FSX-Right-Hippocampus,FSX-Hippocampus,FSX-Right-Hippocampus,Hippocampus,1
rh-inferiorparietal-gvol,Right-inferiorparietal,FSX-inferiorparietal,FSX-Right-inferiorparietal,FSX-Parietal,FSX-Right-Parietal,Cortical,1
rh-inferiortemporal-gvol,Right-inferiortemporal,FSX-inferiortemporal,FSX-Right-inferiortemporal,FSX-Temporal,FSX-Right-Temporal,Other,1
rh-insula-gvol,Right-insula,FSX-insula,FSX-Right-insula,FSX-Insula,FSX-Right-Insula,Other,1
rh-isthmuscingulate-gvol,Right-isthmuscingulate,FSX-isthmuscingulate,FSX-Right-isthmuscingulate,FSX-Cingulate,FSX-Right-Cingulate,Other,1
rh-lateraloccipital-gvol,Right-lateraloccipital,FSX-lateraloccipital,FSX-Right-lateraloccipital,FSX-Occipital,FSX-Right-Occipital,Other,1
rh-lateralorbitofrontal-gvol,Right-lateralorbitofrontal,FSX-lateralorbitofrontal,FSX-Right-lateralorbitofrontal,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-lingual-gvol,Right-lingual,FSX-lingual,FSX-Right-lingual,FSX-Occipital,FSX-Right-Occipital,Other,1
rh-medialorbitofrontal-gvol,Right-medialorbitofrontal,FSX-medialorbitofrontal,FSX-Right-medialorbitofrontal,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-middletemporal-gvol,Right-middletemporal,FSX-middletemporal,FSX-Right-middletemporal,FSX-Temporal,FSX-Right-Temporal,Other,1
,Right-Pallidum,FSX-Pallidum,FSX-Right-Pallidum,FSX-Pallidum,FSX-Right-Pallidum,Other,1
rh-paracentral-gvol,Right-paracentral,FSX-paracentral,FSX-Right-paracentral,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-parahippocampal-gvol,Right-parahippocampal,FSX-parahippocampal,FSX-Right-parahippocampal,FSX-Temporal,FSX-Right-Temporal,Other,1
rh-parsopercularis-gvol,Right-parsopercularis,FSX-parsopercularis,FSX-Right-parsopercularis,FSX-Frontal,FSX-Right-Frontal,Cortical,1
rh-parsorbitalis-gvol,Right-parsorbitalis,FSX-parsorbitalis,FSX-Right-parsorbitalis,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-parstriangularis-gvol,Right-parstriangularis,FSX-parstriangularis,FSX-Right-parstriangularis,FSX-Frontal,FSX-Right-Frontal,Cortical,1
rh-pericalcarine-gvol,Right-pericalcarine,FSX-pericalcarine,FSX-Right-pericalcarine,FSX-Occipital,FSX-Right-Occipital,Other,1
rh-postcentral-gvol,Right-postcentral,FSX-postcentral,FSX-Right-postcentral,FSX-Parietal,FSX-Right-Parietal,Other,1
rh-posteriorcingulate-gvol,Right-posteriorcingulate,FSX-posteriorcingulate,FSX-Right-posteriorcingulate,FSX-Cingulate,FSX-Right-Cingulate,Other,1
rh-precentral-gvol,Right-precentral,FSX-precentral,FSX-Right-precentral,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-precuneus-gvol,Right-precuneus,FSX-precuneus,FSX-Right-precuneus,FSX-Parietal,FSX-Right-Parietal,Other,1
,Right-Putamen,FSX-Putamen,FSX-Right-Putamen,FSX-Putamen,FSX-Right-Putamen,Other,1
rh-rostralanteriorcingulate-gvol,Right-rostralanteriorcingulate,FSX-rostralanteriorcingulate,FSX-Right-rostralanteriorcingulate,FSX-Cingulate,FSX-Right-Cingulate,Other,1
rh-rostralmiddlefrontal-gvol,Right-rostralmiddlefrontal,FSX-rostralmiddlefrontal,FSX-Right-rostralmiddlefrontal,FSX-Frontal,FSX-Right-Frontal,Cortical,1
rh-superiorfrontal-gvol,Right-superiorfrontal,FSX-superiorfrontal,FSX-Right-superiorfrontal,FSX-Frontal,FSX-Right-Frontal,Other,1
rh-superiorparietal-gvol,Right-superiorparietal,FSX-superiorparietal,FSX-Right-superiorparietal,FSX-Parietal,FSX-Right-Parietal,Cortical,1
rh-superiortemporal-gvol,Right-superiortemporal,FSX-superiortemporal,FSX-Right-superiortemporal,FSX-Temporal,FSX-Right-Temporal,Cortical,1
rh-supramarginal-gvol,Right-supramarginal,FSX-supramarginal,FSX-Right-supramarginal,FSX-Parietal,FSX-Right-Parietal,Cortical,1
,Right-temporalpole,FSX-temporalpole,FSX-Right-temporalpole,FSX-Temporal,FSX-Right-Temporal,Other,1
,Right-Thalamus-Proper,FSX-Thalamus-Proper,FSX-Right-Thalamus-Proper,FSX-Thalamus,FSX-Right-Thalamus,Other,1
rh-transversetemporal-gvol,Right-transversetemporal,FSX-transversetemporal,FSX-Right-transversetemporal,FSX-Temporal,FSX-Right-Temporal,Other,1
